"firstname","lastname","dob","series_name","series_type","patient_name_new"
"Harry","Potter","July 31, 1980","Harry Potter","Movie","Potter, Harry"
"Hermione","Granger","September 19, 1979","Harry Potter","Movie","Granger, Hermione"
"Ron","Weasley","March 1, 1980","Harry Potter","Movie","Weasley, Ron"
"Albus","Dumbledore","August 1881","Harry Potter","Movie","Dumbledore, Albus"
"Severus","Snape","March 14, 2000","Harry Potter","Movie","Snape, Severus"
"Tom","Riddle","October 18, 1972","Harry Potter","Movie","Riddle, Tom"
"Ginny","Weasley","August 11, 1981","Harry Potter","Movie","Weasley, Ginny"
"Draco","Malfoy","June 5, 1980","Harry Potter","Movie","Malfoy, Draco"
"Neville","Longbottom","July 30, 1980","Harry Potter","Movie","Longbottom, Neville"
"Luna","Lovegood","February 13, 1981","Harry Potter","Movie","Lovegood, Luna"
"Rubeus","Hagrid","June 25, 1983","Harry Potter","Movie","Hagrid, Rubeus"
"Fred","Weasley","April 1, 1978","Harry Potter","Movie","Weasley, Fred"
"George","Weasley","April 1, 1978","Harry Potter","Movie","Weasley, George"
"Lily","Potter","November 05, 1995","Harry Potter","Movie","Potter, Lily"
"James","Potter","September 28, 1996","Harry Potter","Movie","Potter, James"
"Sirius","Black","March 08, 1978","Harry Potter","Movie","Black, Sirius"
"Remus","Lupin","July 10, 1995","Harry Potter","Movie","Lupin, Remus"
"Minerva","McGonagall","March 04, 1978","Harry Potter","Movie","McGonagall, Minerva"
"Molly","Weasley","January 11, 1983","Harry Potter","Movie","Weasley, Molly"
"Arthur","Weasley","October 13, 1981","Harry Potter","Movie","Weasley, Arthur"
"Dudley","Dursley","June 23, 1980","Harry Potter","Movie","Dursley, Dudley"
"Bellatrix","Lestrange","September 09, 1976","Harry Potter","Movie","Lestrange, Bellatrix"
"Filius","Flitwick","July 27, 1979","Harry Potter","Movie","Flitwick, Filius"
"Dolores","Umbridge","May 27, 1976","Harry Potter","Movie","Umbridge, Dolores"
"Percy","Weasley","August 22, 1976","Harry Potter","Movie","Weasley, Percy"
"Charlie","Weasley","December 12, 1972","Harry Potter","Movie","Weasley, Charlie"
"Bill","Weasley","November 29, 1970","Harry Potter","Movie","Weasley, Bill"
"Pomona","Sprout","June 25, 2001","Harry Potter","Movie","Sprout, Pomona"
"Horace","Slughorn","May 08, 2003","Harry Potter","Movie","Slughorn, Horace"
"Garrick","Ollivander","February 01, 1981","Harry Potter","Movie","Ollivander, Garrick"
"Frodo","Baggins","September 06, 1996","Lord of the Rings","Movie","Baggins, Frodo"
"Legolas","Greenleaf","September 15, 1990","Lord of the Rings","Movie","Greenleaf, Legolas"
"Samwise","Gamgee","December 16, 1995","Lord of the Rings","Movie","Gamgee, Samwise"
"Meriadoc","Brandybuck","June 11, 1999","Lord of the Rings","Movie","Brandybuck, Meriadoc"
"Peregrin","Took","June 22, 1977","Lord of the Rings","Movie","Took, Peregrin"
"Luke","Skywalker","January 22, 2000","Star Wars","Movie","Skywalker, Luke"
"Leia","Organa","April 13, 2003","Star Wars","Movie","Organa, Leia"
"Han","Solo","June 19, 1974","Star Wars","Movie","Solo, Han"
"Anakin","Skywalker","April 22, 1994","Star Wars","Movie","Skywalker, Anakin"
"Obi-Wan","Kenobi","September 23, 1994","Star Wars","Movie","Kenobi, Obi-Wan"
"Lando","Calrissian","August 16, 2004","Star Wars","Movie","Calrissian, Lando"
"Boba","Fett","December 25, 1999","Star Wars","Movie","Fett, Boba"
"Mace","Windu","March 14, 1999","Star Wars","Movie","Windu, Mace"
"Qui-Gon","Jinn","July 03, 1998","Star Wars","Movie","Jinn, Qui-Gon"
"Padmé","Amidala","June 26, 1992","Star Wars","Movie","Amidala, Padmé"
"Tony","Stark","May 05, 1984","Marvel Cinematic Universe","Movie","Stark, Tony"
"Steve","Rogers","March 10, 1977","Marvel Cinematic Universe","Movie","Rogers, Steve"
"Thor","Odinson","October 22, 2003","Marvel Cinematic Universe","Movie","Odinson, Thor"
"Bruce","Banner","April 14, 1981","Marvel Cinematic Universe","Movie","Banner, Bruce"
"Natasha","Romanoff","June 03, 1986","Marvel Cinematic Universe","Movie","Romanoff, Natasha"
"Clint","Barton","August 17, 1999","Marvel Cinematic Universe","Movie","Barton, Clint"
"Wanda","Maximoff","November 07, 1992","Marvel Cinematic Universe","Movie","Maximoff, Wanda"
"Sam","Wilson","July 26, 1998","Marvel Cinematic Universe","Movie","Wilson, Sam"
"Bucky","Barnes","July 27, 2001","Marvel Cinematic Universe","Movie","Barnes, Bucky"
"Peter","Parker","June 16, 1974","Marvel Cinematic Universe","Movie","Parker, Peter"
"Stephen","Strange","May 23, 1993","Marvel Cinematic Universe","Movie","Strange, Stephen"
"T'Challa","Udaku","April 12, 1980","Marvel Cinematic Universe","Movie","Udaku, T'Challa"
"Carol","Danvers","September 07, 1988","Marvel Cinematic Universe","Movie","Danvers, Carol"
"Scott","Lang","September 07, 1995","Marvel Cinematic Universe","Movie","Lang, Scott"
"Hope","van Dyne","March 24, 2003","Marvel Cinematic Universe","Movie","van Dyne, Hope"
"James","Rhodes","January 08, 1973","Marvel Cinematic Universe","Movie","Rhodes, James"
"Pepper","Potts","April 25, 1999","Marvel Cinematic Universe","Movie","Potts, Pepper"
"Nick","Fury","August 22, 1985","Marvel Cinematic Universe","Movie","Fury, Nick"
"Maria","Hill","April 08, 1980","Marvel Cinematic Universe","Movie","Hill, Maria"
"Sharon","Carter","April 20, 1972","Marvel Cinematic Universe","Movie","Carter, Sharon"
"Loki","Laufeyson","January 10, 1991","Marvel Cinematic Universe","Movie","Laufeyson, Loki"
"Erik","Killmonger","November 25, 1989","Marvel Cinematic Universe","Movie","Killmonger, Erik"
"Jane","Foster","May 13, 1977","Marvel Cinematic Universe","Movie","Foster, Jane"
"Johann","Schmidt","November 13, 1971","Marvel Cinematic Universe","Movie","Schmidt, Johann"
"Karl","Mordo","September 08, 1975","Marvel Cinematic Universe","Movie","Mordo, Karl"
"Christine","Palmer","October 04, 2001","Marvel Cinematic Universe","Movie","Palmer, Christine"
"Happy","Hogan","May 16, 1983","Marvel Cinematic Universe","Movie","Hogan, Happy"
"Odin","Borson","January 08, 1992","Marvel Cinematic Universe","Movie","Borson, Odin"
"Alexander","Pierce","September 08, 1979","Marvel Cinematic Universe","Movie","Pierce, Alexander"
"Brock","Rumlow","May 09, 1987","Marvel Cinematic Universe","Movie","Rumlow, Brock"
"Jasper","Sitwell","July 26, 1976","Marvel Cinematic Universe","Movie","Sitwell, Jasper"
"Arnim","Zola","August 22, 1979","Marvel Cinematic Universe","Movie","Zola, Arnim"
"Justin","Hammer","October 11, 1992","Marvel Cinematic Universe","Movie","Hammer, Justin"
"Obadiah","Stane","September 19, 2002","Marvel Cinematic Universe","Movie","Stane, Obadiah"
"Aldrich","Killian","May 22, 1979","Marvel Cinematic Universe","Movie","Killian, Aldrich"
"Maya","Hansen","November 11, 1982","Marvel Cinematic Universe","Movie","Hansen, Maya"
"Trevor","Slattery","April 26, 1994","Marvel Cinematic Universe","Movie","Slattery, Trevor"
"President","Ellis","September 23, 1976","Marvel Cinematic Universe","Movie","Ellis, President"
"Harley","Keener","April 24, 1995","Marvel Cinematic Universe","Movie","Keener, Harley"
"Cassie","Lang","September 05, 1978","Marvel Cinematic Universe","Movie","Lang, Cassie"
"Agatha","Harkness","June 27, 1992","Marvel Cinematic Universe","Movie","Harkness, Agatha"
"Billy","Maximoff","October 10, 1970","Marvel Cinematic Universe","Movie","Maximoff, Billy"
"Tommy","Maximoff","October 27, 1986","Marvel Cinematic Universe","Movie","Maximoff, Tommy"
"John","Walker","July 28, 1990","Marvel Cinematic Universe","Movie","Walker, John"
"Isaiah","Bradley","September 20, 1995","Marvel Cinematic Universe","Movie","Bradley, Isaiah"
"Karli","Morgenthau","February 17, 1975","Marvel Cinematic Universe","Movie","Morgenthau, Karli"
"Yelena","Belova","March 25, 1989","Marvel Cinematic Universe","Movie","Belova, Yelena"
"Alexei","Shostakov","February 04, 2002","Marvel Cinematic Universe","Movie","Shostakov, Alexei"
"Antonia","Dreykov","January 05, 1979","Marvel Cinematic Universe","Movie","Dreykov, Antonia"
"Kamala","Khan","August 23, 1994","Marvel Cinematic Universe","Movie","Khan, Kamala"
"Marc","Spector","May 13, 1994","Marvel Cinematic Universe","Movie","Spector, Marc"
"Arthur","Harrow","October 06, 1987","Marvel Cinematic Universe","Movie","Harrow, Arthur"
"Jen","Walters","September 16, 1976","Marvel Cinematic Universe","Movie","Walters, Jen"
"Emil","Blonsky","May 13, 1986","Marvel Cinematic Universe","Movie","Blonsky, Emil"
"Eric","Brooks","May 08, 1997","Marvel Cinematic Universe","Movie","Brooks, Eric"
"Jack","Russell","April 18, 1976","Marvel Cinematic Universe","Movie","Russell, Jack"
"Elsa","Bloodstone","January 01, 1998","Marvel Cinematic Universe","Movie","Bloodstone, Elsa"
"Namor","McKenzie","January 02, 1971","Marvel Cinematic Universe","Movie","McKenzie, Namor"
"Riri","Williams","August 17, 1982","Marvel Cinematic Universe","Movie","Williams, Riri"
"Janet","van Dyne","February 02, 1972","Marvel Cinematic Universe","Movie","van Dyne, Janet"
"Hank","Pym","September 13, 1981","Marvel Cinematic Universe","Movie","Pym, Hank"
"Kraglin","Obfonteri","October 10, 1975","Marvel Cinematic Universe","Movie","Obfonteri, Kraglin"
"Peter","Quill","March 04, 1985","Marvel Cinematic Universe","Movie","Quill, Peter"
"Monica","Rambeau","November 03, 1996","Marvel Cinematic Universe","Movie","Rambeau, Monica"
"Jimmy","Woo","March 16, 1992","Marvel Cinematic Universe","Movie","Woo, Jimmy"
"Darcy","Lewis","July 03, 1971","Marvel Cinematic Universe","Movie","Lewis, Darcy"
"Ned","Leeds","July 09, 1978","Marvel Cinematic Universe","Movie","Leeds, Ned"
"Michelle","Jones","February 22, 2005","Marvel Cinematic Universe","Movie","Jones, Michelle"
"Flash","Thompson","November 07, 1997","Marvel Cinematic Universe","Movie","Thompson, Flash"
"Liz","Toomes","March 12, 2002","Marvel Cinematic Universe","Movie","Toomes, Liz"
"Adrian","Toomes","May 17, 2003","Marvel Cinematic Universe","Movie","Toomes, Adrian"
"Quentin","Beck","March 25, 1981","Marvel Cinematic Universe","Movie","Beck, Quentin"
"Helmut","Zemo","March 25, 1972","Marvel Cinematic Universe","Movie","Zemo, Helmut"
"Taneleer","Tivan","January 06, 1987","Marvel Cinematic Universe","Movie","Tivan, Taneleer"
"Maria","Rambeau","October 13, 2001","Marvel Cinematic Universe","Movie","Rambeau, Maria"
"Howard","Stark","June 20, 1989","Marvel Cinematic Universe","Movie","Stark, Howard"
"Peggy","Carter","April 09, 1998","Marvel Cinematic Universe","Movie","Carter, Peggy"
"Abraham","Erskine","July 10, 1977","Marvel Cinematic Universe","Movie","Erskine, Abraham"
"Chester","Phillips","February 08, 1986","Marvel Cinematic Universe","Movie","Phillips, Chester"
"Gabe","Jones","January 12, 1980","Marvel Cinematic Universe","Movie","Jones, Gabe"
"Jim","Morita","March 13, 1971","Marvel Cinematic Universe","Movie","Morita, Jim"
"Jacques","Dernier","March 22, 1982","Marvel Cinematic Universe","Movie","Dernier, Jacques"
"Dum Dum","Dugan","October 16, 1999","Marvel Cinematic Universe","Movie","Dugan, Dum Dum"
"Georges","Batroc","April 18, 1974","Marvel Cinematic Universe","Movie","Batroc, Georges"
"Ulysses","Klaue","December 17, 2002","Marvel Cinematic Universe","Movie","Klaue, Ulysses"
"Ava","Starr","May 28, 1981","Marvel Cinematic Universe","Movie","Starr, Ava"
"Darren","Cross","February 12, 1971","Marvel Cinematic Universe","Movie","Cross, Darren"
"Nathaniel","Richards","October 15, 1975","Marvel Cinematic Universe","Movie","Richards, Nathaniel"
"James","Kirk","November 03, 1988","Star Trek","Movie","Kirk, James"
"Leonard","McCoy","August 01, 2002","Star Trek","Movie","McCoy, Leonard"
"Nyota","Uhura","April 24, 1980","Star Trek","Movie","Uhura, Nyota"
"Hikaru","Sulu","October 24, 1979","Star Trek","Movie","Sulu, Hikaru"
"Pavel","Chekov","July 18, 1997","Star Trek","Movie","Chekov, Pavel"
"Jean-Luc","Picard","April 27, 1986","Star Trek","Movie","Picard, Jean-Luc"
"William","Riker","May 11, 1978","Star Trek","Movie","Riker, William"
"Deanna","Troi","February 05, 1977","Star Trek","Movie","Troi, Deanna"
"Beverly","Crusher","February 06, 1998","Star Trek","Movie","Crusher, Beverly"
"Geordi","La Forge","October 09, 1979","Star Trek","Movie","La Forge, Geordi"
"Kathryn","Janeway","July 06, 1980","Star Trek","Movie","Janeway, Kathryn"
"B'Elanna","Torres","December 19, 2001","Star Trek","Movie","Torres, B'Elanna"
"Tom","Paris","August 27, 1996","Star Trek","Movie","Paris, Tom"
"Harry","Kim","July 04, 1999","Star Trek","Movie","Kim, Harry"
"Benjamin","Sisko","December 03, 1993","Star Trek","Movie","Sisko, Benjamin"
"Kira","Nerys","April 23, 1975","Star Trek","Movie","Nerys, Kira"
"Julian","Bashir","April 10, 1999","Star Trek","Movie","Bashir, Julian"
"Miles","O'Brien","June 19, 1994","Star Trek","Movie","O'Brien, Miles"
"Michael","Burnham","September 25, 2005","Star Trek","Movie","Burnham, Michael"
"Sylvia","Tilly","April 22, 1973","Star Trek","Movie","Tilly, Sylvia"
"Paul","Stamets","July 15, 1993","Star Trek","Movie","Stamets, Paul"
"Hugh","Culber","March 08, 1984","Star Trek","Movie","Culber, Hugh"
"Christopher","Pike","October 05, 2000","Star Trek","Movie","Pike, Christopher"
"Una","Chin-Riley","September 11, 1985","Star Trek","Movie","Chin-Riley, Una"
"La'an","Noonien-Singh","October 23, 1999","Star Trek","Movie","Noonien-Singh, La'an"
"Christine","Chapel","September 06, 2003","Star Trek","Movie","Chapel, Christine"
"Erica","Ortegas","June 18, 1989","Star Trek","Movie","Ortegas, Erica"
"Joseph","M'Benga","August 08, 1971","Star Trek","Movie","M'Benga, Joseph"
"Wesley","Crusher","May 25, 1980","Star Trek","Movie","Crusher, Wesley"
"Tasha","Yar","March 23, 1976","Star Trek","Movie","Yar, Tasha"
"Ro","Laren","November 10, 1977","Star Trek","Movie","Laren, Ro"
"Reginald","Barclay","July 06, 1986","Star Trek","Movie","Barclay, Reginald"
"Elim","Garak","December 17, 1975","Star Trek","Movie","Garak, Elim"
"Amanda","Grayson","December 15, 2004","Star Trek","Movie","Grayson, Amanda"
"Will","Decker","January 05, 1989","Star Trek","Movie","Decker, Will"
"Khan","Noonien Singh","April 02, 1980","Star Trek","Movie","Noonien Singh, Khan"
